drugbank_id	recon_id
DB00114	pydx5p
DB00116	thf
DB00117	his_L
DB00118	amet
DB00119	pyr
DB00120	phe_L
DB00121	btn
DB00122	chol
DB00123	lys_L
DB00125	arg_D
DB00125	arg_L
DB00126	ascb_L
DB00127	sprm
DB00128	asp_D
DB00128	asp_L
DB00129	orn
DB00129	orn_D
DB00130	gln_L
DB00131	amp
DB00132	lnlnca
DB00133	ser_D
DB00133	ser_L
DB00134	met_L
DB00135	tyr_L
DB00136	1a25dhvitd3
DB00138	Lcystin
DB00139	succ
DB00140	ribflv
DB00142	glu_L
DB00143	gthrd
DB00145	gly
DB00146	25hvitd3
DB00147	pydx
DB00148	creat
DB00149	leu_L
DB00150	trp_L
DB00151	cys_L
DB00152	thm
DB00153	vitd2
DB00154	CE2516
DB00154	HC02100
DB00154	dlnlcg
DB00155	citr_L
DB00156	thr_L
DB00158	fol
DB00159	CE2540
DB00159	tmndnc
DB00160	ala_D
DB00160	ala_L
DB00161	val_L
DB00162	retinol
DB00162	retinol_9_cis
DB00162	retinol_cis_11
DB00162	retinol_cis_13
DB00163	avite1
DB00165	pydxn
DB00166	lipoate
DB00167	ile_L
DB00169	vitd3
DB00171	atp
DB00172	pro_D
DB00172	pro_L
DB00173	ade
DB00174	asn_L
DB00194	adn
DB00200	aqcobal
DB00200	h2o
DB00200	oh1
DB00258	ac
DB00258	ca2
DB00279	triodthy
DB00360	thbpt
DB00364	h2o
DB00364	oh1
DB00368	nrpphr
DB00396	prgstrn
DB00416	i
DB00435	no
DB00451	thyox_L
DB00464	na1
DB00483	i
DB00509	thyox_L
DB00515	cl
DB00515	nh4
DB00523	13_cis_retn
DB00523	CE1617
DB00523	CE5594
DB00523	retn
DB00526	oxa
DB00534	cl
DB00548	C08261
DB00583	crn
DB00624	tststerone
DB00627	nac
DB00640	adn
DB00650	5fthf
DB00653	so4
DB00655	estrone
DB00668	adrnl
DB00736	omeprazole
DB00741	crtsl
DB00742	C01507
DB00742	galt
DB00742	sbt_D
DB00755	13_cis_retn
DB00755	CE1617
DB00755	CE5594
DB00755	retn
DB00761	cl
DB00761	k
DB00770	prostge1
DB00783	estradiol
DB00815	na1
DB00829	C06948
DB00847	cysam
DB00855	5aop
DB00895	lys_L
DB00898	etoh
DB00907	coke
DB00917	prostge2
DB00958	nh4
DB00982	13_cis_retn
DB00982	CE1617
DB00982	CE5594
DB00982	retn
DB00987	cytd
DB00988	dopa
DB01022	phyQ
DB01115	nifedipine
DB01124	tolbutamide
DB01160	CE5924
DB01160	HC02216
DB01160	prostgf2
DB01164	ca2
DB01164	cl
DB01229	taxol
DB01235	34dhphe
DB01240	prostgi2
DB01265	thymd
DB01294	h2o
DB01294	oh1
DB01296	gam
DB01303	chol
DB01345	k
DB01375	h2o
DB01375	ocdca
DB01375	oh1
DB01390	hco3
DB01390	na1
DB01401	chol
DB01435	antipyrene
DB01494	glyb
DB01495	antipyrene
DB01524	C04295
DB01525	ecgon
DB01525	pecgon
DB01530	CE2209
DB01536	andrstndn
DB01561	andrstandn
DB01574	h2o
DB01574	oh1
DB01575	h2o
DB01575	oh1
DB01583	na1
DB01583	thyox_L
DB01583	triodthy
DB01586	C02528
DB01632	prpp
DB01638	C01507
DB01638	galt
DB01638	sbt_D
DB01643	dtmp
DB01646	C02712
DB01650	2coum
DB01652	4hbzcoa
DB01655	6pgc
DB01671	h2o
DB01671	oh1
DB01675	2mp2coa
DB01677	fum
DB01687	lcts
DB01687	malt
DB01692	dtt
DB01697	malttr
DB01700	aicar
DB01702	34dhpha
DB01708	dhea
DB01709	2pg
DB01713	udpxyl
DB01727	icit
DB01729	mi134p
DB01729	mi145p
DB01738	ethamp
DB01739	ile_L
DB01746	leu_L
DB01747	fe3
DB01751	CE2881
DB01752	ahcys
DB01758	3ityr_L
DB01762	acac
DB01774	adpglc
DB01774	adpman
DB01775	dha
DB01783	pnto_R
DB01785	dmpp
DB01786	ala_D
DB01786	ala_L
DB01796	quln
DB01811	CE4888
DB01812	pap
DB01819	pep
DB01822	dttOX
DB01828	mma
DB01839	12ppd_R
DB01839	12ppd_S
DB01849	56dura
DB01861	udpg
DB01861	udpgal
DB01863	mi1345p
DB01880	34dhcinm
DB01912	cl
DB01917	ptrc
DB01923	ru5p_D
DB01923	xu5p_D
DB01936	rib_D
DB01942	for
DB01956	taur
DB01971	urcan
DB01972	gmp
DB01982	glcur
DB01987	thmpp
DB01990	chsterols
DB01992	coa
DB02007	g6p
DB02007	man6p
DB02013	h2o
DB02013	oh1
DB02015	dhf
DB02031	thf
DB02056	prostgd2
DB02059	adprib
DB02061	lcts
DB02061	malt
DB02070	Lkynr
DB02073	biliverd
DB02076	6pgc
DB02083	dmgly
DB02092	HC02024
DB02097	cytd
DB02123	dgchol
DB02129	dhor_S
DB02134	xan
DB02142	pyam5p
DB02153	3sala
DB02156	3spyr
DB02159	12ppd_R
DB02159	12ppd_S
DB02165	h2o
DB02165	oh1
DB02174	gln_L
DB02175	HC00319
DB02176	ac
DB02178	pacald
DB02180	tdcoa
DB02181	dgtp
DB02184	dtt
DB02190	HC01434
DB02196	uacgam
DB02196	udpacgal
DB02201	HC00319
DB02209	pdx5p
DB02236	gar
DB02238	2kmb
DB02256	duri
DB02262	orot
DB02263	g3p
DB02267	argsuc
DB02272	ppbng
DB02282	5mta
DB02285	ppp9
DB02304	HC02205
DB02312	g6p
DB02312	man6p
DB02315	35cgmp
DB02317	HC01111
DB02317	g1p
DB02317	gal1p
DB02317	man1p
DB02332	fad
DB02333	dutp
DB02334	sl_L
DB02338	nadph
DB02342	C05302
DB02345	selcys
DB02373	h2o
DB02373	oh1
DB02377	gua
DB02379	gal
DB02379	glc_D
DB02379	man
DB02380	din
DB02382	nicrnt
DB02421	udpg
DB02421	udpgal
DB02431	ctp
DB02452	dttp
DB02453	h2o
DB02453	oh1
DB02456	cmp
DB02485	cmpacna
DB02515	glyc3p
DB02517	glu_L
DB02518	CE1554
DB02527	camp
DB02530	4abut
DB02536	glyald
DB02547	gdpfuc
DB02552	grdp
DB02556	phe_L
DB02561	srb_L
DB02561	tagat_D
DB02562	dhbpt
DB02563	HC01409
DB02571	L2aadp6sa
DB02579	acryl
DB02594	dcyt
DB02637	oaa
DB02648	crn
DB02655	asp_D
DB02655	asp_L
DB02657	gam6p
DB02659	cholate
DB02678	gam
DB02688	2amac
DB02691	gchola
DB02693	dttOX
DB02701	ncam
DB02714	3ump
DB02717	maltttr
DB02724	fe3
DB02726	2pglyc
DB02743	lcts
DB02743	malt
DB02745	uri
DB02750	cys_L
DB02751	gudac
DB02761	thcys
DB02772	sucr
DB02789	prgnlone
DB02805	3ump
DB02831	pi
DB02835	C03693
DB02838	1p2cbxl
DB02843	HC01111
DB02843	g1p
DB02843	gal1p
DB02843	man1p
DB02853	pro_D
DB02853	pro_L
DB02854	ahandrostan
DB02854	andrstrn
DB02857	gsn
DB02867	HC01111
DB02867	g1p
DB02867	gal1p
DB02867	man1p
DB02893	met_L
DB02900	g6p
DB02900	man6p
DB02901	5adtststerone
DB02902	paps
DB02910	occoa
DB02912	ppcoa
DB02914	CE5014
DB02942	mi13p
DB02945	glcur
DB02951	hpyr
DB02957	orot5p
DB02958	C05708
DB02959	5htrp
DB03013	HC00822
DB03017	HC02176
DB03017	ddca
DB03041	udpglcur
DB03059	aacoa
DB03066	lac_D
DB03066	lac_L
DB03085	glyclt
DB03088	5oxpro
DB03101	r1p
DB03103	dtdp
DB03106	inost
DB03107	ala_B
DB03109	acgal
DB03109	acgam
DB03109	acmana
DB03128	ach
DB03142	rib_D
DB03144	nwharg
DB03147	fad
DB03156	glcur
DB03158	mi14p
DB03166	ac
DB03169	hmgcoa
DB03170	dpcoa
DB03192	3hdcoa
DB03192	HC01403
DB03193	ocdca
DB03201	cys_L
DB03203	sphings
DB03222	datp
DB03225	trp_L
DB03227	nmn
DB03229	4mop
DB03246	rib_D
DB03247	fmn
DB03252	lys_L
DB03256	5fthf
DB03258	dctp
DB03264	ddcacoa
DB03277	malttr
DB03283	fuc_L
DB03310	gthox
DB03317	fe2
DB03323	lcts
DB03323	malt
DB03328	HC00250
DB03344	mi13456p
DB03350	nh4
DB03374	35diotyr
DB03381	hxdcal
DB03389	arab_L
DB03397	uacgam
DB03397	udpacgal
DB03401	mi134p
DB03401	mi145p
DB03403	cmp
DB03407	24nph
DB03408	glucys
DB03413	dudp
DB03416	thmmp
DB03419	ura
DB03423	seahcys
DB03432	3aib
DB03432	3aib_D
DB03435	udp
DB03443	HC02172
DB03461	nadp
DB03462	thym
DB03485	fuc_L
DB03491	dgdp
DB03499	mal_L
DB03501	udpg
DB03501	udpgal
DB03511	glcur
DB03512	h2o
DB03512	oh1
DB03518	mev_R
DB03528	adn
DB03542	mi1p_D
DB03542	mi3p_D
DB03542	mi4p_D
DB03566	spmd
DB03567	acgal
DB03567	acgam
DB03567	acmana
DB03568	but
DB03587	mthgxl
DB03600	HC02175
DB03603	glcr
DB03604	CE2883
DB03612	3hbcoa
DB03612	3hbcoa_R
DB03618	mn
DB03619	C04483
DB03619	dchac
DB03644	3hanthrn
DB03652	glcur
DB03661	Lcyst
DB03685	ump
DB03688	3hpp
DB03696	lanost
DB03699	succoa
DB03700	thr_L
DB03704	whddca
DB03708	aps
DB03721	acnam
DB03723	dtdprmn
DB03727	C05769
DB03740	acgal
DB03740	acgam
DB03740	acmana
DB03751	dtdpglu
DB03756	CE0328
DB03756	crvnc
DB03760	C02147
DB03766	ppa
DB03773	fuc_L
DB03774	glu5sa
DB03793	bz
DB03796	hdca
DB03798	dcmp
DB03800	dump
DB03825	cl
DB03832	HC01007
DB03832	c8crn
DB03839	tyr_L
DB03840	h2o
DB03840	oh1
DB03843	fald
DB03866	HC02217
DB03882	CE2209
DB03884	phpyr
DB03896	pppi
DB03902	oxa
DB03904	urea
DB03911	arab_L
DB03912	pan4p
DB03915	2aobut
DB03918	thbpt
DB03926	CE2209
DB03929	ser_D
DB03929	ser_L
DB03934	HC02172
DB03934	pheme
DB03937	e4p
DB03943	asn_L
DB03945	cholp
DB03947	rbl_D
DB03947	xylu_D
DB03947	xylu_L
DB03951	acgam6p
DB03951	acmanap
DB03956	mi134p
DB03956	mi145p
DB03977	tmlys
DB03983	HC00250
DB03989	gal
DB03989	glc_D
DB03989	man
DB03994	etha
DB04005	utp
DB04008	HC02172
DB04027	arg_D
DB04027	arg_L
DB04031	h2o
DB04031	oh1
DB04034	ru5p_D
DB04034	xu5p_D
DB04045	mmcoa_R
DB04045	mmcoa_S
DB04062	fuc_L
DB04066	T4hcinnm
DB04072	micit
DB04074	3mob
DB04075	acglu
DB04076	hxan
DB04099	dnad
DB04100	co
DB04116	HC00229
DB04122	g6p
DB04122	man6p
DB04127	r5p
DB04137	gtp
DB04153	HC02121
DB04160	ppi
DB04166	anth
DB04173	fru
DB04183	HC00900
DB04193	hom_L
DB04194	chtn
DB04207	saccrp_L
DB04214	HC01104
DB04224	elaid
DB04224	ocdcea
DB04231	h2o
DB04231	oh1
DB04242	4hbz
DB04248	malttr
DB04252	cbasp
DB04257	hdcea
DB04265	acnam
DB04272	cit
DB04275	Nacsertn
DB04286	arab_L
DB04299	fum
DB04300	mi1346p
DB04304	glcn
DB04304	guln
DB04315	gdp
DB04325	peamn
DB04326	dhap
DB04335	ins
DB04343	glx
DB04348	tchola
DB04349	12ppd_R
DB04349	12ppd_S
DB04351	HC00342
DB04352	r5p
DB04370	slfcys
DB04380	alltt
DB04388	glu5sa
DB04397	h2o
DB04397	oh1
DB04398	lac_D
DB04398	lac_L
DB04400	CE2705
DB04401	betald
DB04414	h2o
DB04414	oh1
DB04417	4nph
DB04418	dcamp
DB04422	hcys_L
DB04425	HC01361
DB04445	i
DB04447	dtt
DB04454	C02356
DB04455	glyb
DB04457	dgmp
DB04461	cpppg3
DB04465	lcts
DB04465	malt
DB04473	fuc_L
DB04485	thymd
DB04494	h2o
DB04494	oh1
DB04510	3pg
DB04519	octa
DB04522	pser_L
DB04524	malcoa
DB04540	chsterol
DB04551	HC01180
DB04551	fdp
DB04553	2obut
DB04555	cdp
DB04557	arachd
DB04566	imp
DB04573	estriol
DB04574	estrones
DB04630	aldstrn
DB04650	btn
DB04652	crtstrn
DB04660	g3pc
DB04665	coumarin
DB04688	egme
DB04704	20ahchsterol
DB04704	xol7a
DB04705	xol25oh
DB04714	ipdp
DB04734	mescon
DB04789	5mthf
DB04801	vacc
DB04840	debrisoquine
DB04874	cl
DB04874	nh4
DB04912	cl
DB04996	ac
DB04996	cl
DB04996	nh4
DB05229	na1
DB05296	ac
DB05340	na1
DB05381	hista
DB05382	iodine
DB05389	h2o
DB05389	o2
DB05389	oh1
DB05428	ac
DB05446	HC02121
DB05461	cl
DB05461	h2o
DB05461	oh1
DB05476	cl
DB05607	fum
DB05630	h2o
DB05630	na1
DB05630	oh1
DB05642	cl
DB05642	h2o
DB05642	oh1
DB05732	HC00319
DB05790	cl
DB05792	cl
DB05804	dheas
DB05837	cl
DB05956	cl
DB05966	cit
DB05993	cl
DB06082	cl
DB06151	CE1310
DB06215	fe2
DB06215	fe3
DB06216	fum
DB06253	lipoate
DB06659	cl
DB06689	elaid
DB06689	etha
DB06689	ocdcea
DB06705	na1
DB06715	i
DB06715	k
DB06723	h2o
DB06723	oh1
DB06724	ca2
DB06724	hco3
DB06755	caro
DB06756	glyb
DB06767	cl
DB06767	nh4
DB06768	lac_D
DB06768	lac_L
DB06768	nh4
DB06777	C02528
DB06778	so4
DB06783	fe3
DB06784	cit
DB06788	ac
DB06792	hco3
DB07172	CE7085
DB07339	CE5536
DB07375	andrstandn
DB07424	k
DB07447	5adtststerone
DB07557	C03681
DB07645	sebacid
DB07702	estriol
DB07706	C05301
DB07718	34hpp
DB07768	tststerone
DB07780	frdp
DB07841	CE5956
DB07841	ggdp
DB07841	ttc_ggdp
DB07950	ind3ac
DB08120	dhlam
DB08231	ttdca
DB08294	CE1957
DB08327	hgentis
DB08435	CE4877
DB08653	trypta
DB08830	dhdascb
DB08833	tdchola
DB08838	agm
DB08839	srtn
DB08841	tym
DB08842	acrn
DB08844	urate
DB08845	akg
DB08847	4hpro_LT
DB08855	leuktrC4
DB08858	cl
DB08858	gchola
DB08858	nh4
DB08913	cl
DB08921	limnen
DB08938	h2o
DB08938	oh1
DB08938	so4
DB09072	na1
DB09087	k
DB09087	so4
DB09099	CE5782
DB09104	h2o
DB09104	oh1
DB09112	no2
DB09116	ca2
DB09125	cit
DB09125	k
DB09129	cl
DB09131	cl
DB09138	h2o
DB09138	oh1
DB09140	o2
DB09145	h2o
DB09145	oh1
DB09146	fe3
DB09146	h2o
DB09146	na1
DB09146	oh1
DB09146	sucr
DB09147	fe3
DB09147	ppi
DB09153	cl
DB09153	na1
DB09154	cit
DB09154	na1
DB09157	co2
DB09160	h2o
DB09160	oh1
DB09165	ppi
DB09221	HC02172
DB09241	cl
DB09269	pac
DB09270	q10
DB09275	k
DB09276	na1
DB09277	chol
DB09277	cl
DB09293	i
DB09314	h2o
DB09314	oh1
DB09316	cl
DB09322	HC02172
DB09322	so4
DB09325	na1
DB09326	nh4
DB09327	ura
DB09332	na1
DB09338	h2o
DB09338	oh1
DB09380	na1
DB09394	pi
DB09395	ac
DB09395	na1
DB09400	selmeth
DB09407	cl
DB09409	ac
DB09409	h2o
DB09409	oh1
DB09413	k
DB09413	pi
DB09414	k
DB09414	pi
DB09418	k
DB09419	xyl_D
DB09420	i
DB09421	C03958
DB09449	na1
DB09449	pi
DB09460	hco3
DB09460	na1
DB09462	glyc
DB09472	na1
DB09472	so4
DB09481	hco3
DB09483	k
DB09483	lac_D
DB09483	lac_L
DB09484	na1
DB09490	cl
DB09498	cl
DB09499	HC01501
DB09499	tsul
DB09501	cit
DB09501	fe3
DB09501	nh4
DB09510	urea
DB09513	urea
DB09517	fe3
DB09517	glcn
DB09517	guln
DB09517	na1
DB09517	sucr
DB09546	so4
DB09555	fum
DB09561	glyc3p
DB09561	na1
DB09563	chol
DB11056	cl
DB11068	sel
DB11081	cl
DB11090	k
DB11091	h2o2
DB11093	ca2
DB11093	cit
DB11098	hco3
DB11098	k
DB11100	alltn
DB11107	k
DB11110	cit
DB11119	i
DB11119	na1
DB11126	ca2
DB11126	glcn
DB11126	guln
DB11128	h2o
DB11128	nh4
DB11128	oh1
DB11129	h2o2
DB11129	urea
DB11141	glcn
DB11141	guln
DB11142	selmeth
DB11150	so4
DB11151	h2o
DB11151	oh1
DB11153	h2o
DB11153	k
DB11153	oh1
DB11154	HC02172
DB11154	cit
DB11159	na1
DB11168	ca2
DB11168	thrnt
DB11171	fe3
DB11171	h2o
DB11171	oh1
DB11171	so4
DB11175	C10164
DB11175	HC02172
DB11183	na1
DB11189	gly
DB11191	adocbl
DB11192	thrnt
DB11195	abt
DB11195	rbt
DB11195	xylt
DB11197	cys_L
DB11197	fe2
DB11197	gly
DB11200	cl
DB11200	gly
DB11200	h2o
DB11200	oh1
DB11205	cl
DB11205	h2o
DB11205	oh1
DB11210	fe2
DB11210	gly
DB11233	cit
DB11239	so4
DB11246	glcn
DB11246	guln
DB11248	HC02172
DB11248	glcn
DB11248	guln
DB11255	C10164
DB11256	5mthf
DB11264	ca2
DB11281	hco3
DB11290	ocdca
DB11309	so4
DB11340	q10h2
DB11348	ca2
DB11348	pi
DB11417	h2o2
DB11460	sql
DB11493	na1
DB11493	pppi
DB11525	nh4
DB11573	cl
DB11573	h2o
DB11573	oh1
DB11588	co
DB11590	na1
DB11596	5fthf
DB11673	pydam
DB11695	carn
DB11710	1mncam
DB11742	ebastine
DB11846	crtn
DB11858	leuktrD4
DB11859	CE2211
DB11924	sphgn
DB11937	kynate
DB12153	cdpchol
DB12308	CE2211
DB12310	tre
DB12425	triodthy
DB12519	sarcs
DB12529	no2
DB12628	chol
DB12676	mlthf
DB12751	mal_L
DB12754	i
DB12961	CE2445
DB12961	leuktrB4
DB12972	CE2211
DB13105	CE7114
DB13142	ca2
DB13142	glcn
DB13142	guln
DB13145	nh4
DB13156	ins
DB13157	na1
DB13163	h2o
DB13163	oh1
DB13178	inost
DB13180	glcn
DB13180	guln
DB13191	pcreat
DB13207	arg_D
DB13207	arg_L
DB13207	glu_L
DB13209	h2o
DB13209	oh1
DB13210	na1
DB13220	asp_D
DB13220	asp_L
DB13220	fe2
DB13231	ca2
DB13231	lac_D
DB13231	lac_L
DB13236	h2o
DB13236	na1
DB13236	oh1
DB13250	cl
DB13257	fe2
DB13257	so4
DB13261	h2o
DB13261	oh1
DB13280	acac
DB13322	h2o
DB13322	hco3
DB13322	oh1
DB13326	cl
DB13344	cl
DB13366	cl
DB13379	hco3
DB13379	na1
DB13381	fe3
DB13381	na1
DB13387	fe3
DB13387	h2o
DB13387	oh1
DB13387	pheme
DB13392	h2o
DB13392	na1
DB13392	oh1
DB13404	na1
DB13423	fe3
DB13423	h2o
DB13423	oh1
DB13519	oxa
DB13569	cl
DB13569	fe2
DB13576	nac
DB13582	cit
DB13582	fe3
DB13590	ca2
DB13595	h2o
DB13595	oh1
DB13612	ca2
DB13612	urea
DB13615	h2o
DB13615	na1
DB13615	oh1
DB13620	glcn
DB13620	guln
DB13620	k
DB13626	gly
DB13626	h2o
DB13626	oh1
DB13639	fe2
DB13650	glcn
DB13650	guln
DB13650	h2o
DB13650	oh1
DB13654	h2o
DB13654	oh1
DB13666	i
DB13698	fe2
DB13698	hco3
DB13702	i
DB13705	cl
DB13706	na1
DB13707	na1
DB13732	h2o
DB13732	oh1
DB13743	HC01501
DB13743	h2o
DB13743	na1
DB13743	oh1
DB13743	tsul
DB13748	arg_D
DB13748	arg_L
DB13749	glcn
DB13749	guln
DB13749	h2o
DB13749	oh1
DB13763	na1
DB13765	cl
DB13769	i
DB13771	fe3
DB13771	na1
DB13780	h2o
DB13780	oh1
DB13786	orot
DB13789	ac
DB13800	ca2
DB13818	h2o
DB13818	oh1
DB13829	ca2
DB13831	k
DB13854	lnlncg
DB13862	pi
DB13909	h2o
DB13909	oh1
DB13911	na1
DB13949	fe3
DB13962	ca2
DB13962	glcr
DB13969	cl
DB13972	met_L
DB13977	hco3
DB13977	k
DB13987	cl
DB13995	cit
DB13995	fe3
DB13995	ppi
DB13996	ac
DB14006	chol
DB14015	na1
DB14015	so3
DB14028	C07486
DB14048	na1
DB14073	CE2510
DB14077	ocdca
DB14080	CE1310
DB14088	dcsptn1
DB14093	tststerone
DB14094	CE5022
DB14098	cbl2
DB14104	lneldc
DB14104	lnlc
DB14105	na1
DB14116	h2o
DB14116	oh1
DB14128	nad
DB14135	CE4633
DB14138	h2o
DB14138	oh1
DB14149	k
DB14149	na1
DB14149	ocdca
DB14180	so4
DB14206	cl
DB14475	lac_D
DB14475	lac_L
DB14476	avite1
DB14479	CE1310
DB14479	HC02172
DB14481	ca2
DB14481	h2o
DB14481	oh1
DB14481	pi
DB14482	ascb_L
DB14482	na1
DB14483	ascb_L
DB14483	ca2
DB14484	ascb_L
DB14485	HC02172
DB14485	ascb_L
DB14486	ascb_L
DB14486	ncam
DB14489	fe2
DB14489	succ
DB14490	ascb_L
DB14490	fe2
DB14491	fe2
DB14491	fum
DB14492	k
DB14493	HC02172
DB14493	gly
DB14494	HC02172
DB14494	h2o
DB14494	hco3
DB14494	oh1
DB14496	na1
DB14497	ca2
DB14497	cl
DB14497	h2o
DB14497	hco3
DB14497	oh1
DB14498	ac
DB14498	k
DB14501	fe2
DB14501	gly
DB14501	so4
DB14502	na1
DB14502	pi
DB14505	na1
DB14506	h2o
DB14506	oh1
DB14507	cit
DB14508	succ
DB14509	hco3
DB14510	fe2
DB14511	ac
DB14516	na1
DB14517	pi
DB14518	ac
DB14520	fe3
DB14520	h2o
DB14520	oh1
DB14522	h2o
DB14522	oh1
DB14523	pi
DB14526	cit
DB14528	glcn
DB14528	guln
DB14529	nac
DB14530	so4
DB14531	hco3
DB14532	HC02172
DB14533	HC02172
DB14533	cl
DB14546	so4
DB14547	cl
DB14550	cl
DB14570	17ahprgstrn
DB14573	pi
DB14577	ca2
DB14598	ca2
DB14598	na1
DB14599	na1
DB14600	na1
DB14622	h2o
DB14622	na1
DB14622	oh1
DB14622	pi
DB14630	tymsf
DB14681	cortsn
DB14695	fe3
DB14695	h2o
DB14695	oh1
DB14704	abt
DB14704	rbt
DB14704	xylt
DB14933	rnam
DB14981	minohp
DB14981	ppmi1346p
DB15073	xyl_D
DB15111	ac
DB15289	perillyl
DB15344	CE2028
DB15350	inost
DB15394	yvite
DB15479	cl
DB15479	h2o
DB15479	oh1
DB15533	ca2
DB15533	so4
DB15535	cl
DB15536	cl
DB15536	fe3
DB15555	mal_L
DB15556	HC02172
DB15556	cit
DB15556	gly
DB15573	appnn
DB15587	h2o
DB15587	k
DB15587	oh1
DB15594	na1
DB15598	fe3
